WELL,PICKS,DEPTH
15/9-11,Seabed,113.0
15/9-11,NORDLAND GP. Top,586.0
15/9-11,Utsira Fm. Top,825.0
15/9-11,HORDALAND GP. Top,1099.0
15/9-11,Ty Fm. Top,2387.0
15/9-11,SHETLAND GP. Top,2527.0
15/9-11,Ekofisk Fm. Top,2527.0
15/9-11,Hod Fm. Top,2624.0
15/9-11,Draupne Fm. Top,2752.5
15/9-11,Heather Fm. Top,2776.0
15/9-11,Smith Bank Fm. Top,2830.5
15/9-17,Seabed,108.0
15/9-17,NORDLAND GP. Top,568.0
15/9-17,Utsira Fm. Top,832.0
15/9-17,HORDALAND GP. Top,1045.0
15/9-17,Ty Fm. Top,2381.23
15/9-17,SHETLAND GP. Top,2486.5
15/9-17,Ekofisk Fm. Top,2486.5
15/9-17,Hod Fm. Top,2612.0
15/9-17,Draupne Fm. Top,2712.0
15/9-17,Hugin Fm. VOLVE Top,2715.25
15/9-17,Hugin Fm. VOLVE Base,2717.5
15/9-17,Skagerrak Fm. Top,2717.5
15/9-17,Smith Bank Fm. Top,2870.79
15/9-19 A,Seabed,106.0
15/9-19 A,NORDLAND GP. Top,106.0
15/9-19 A,Utsira Fm. Top,847.8
15/9-19 A,HORDALAND GP. Top,1107.5
15/9-19 A,Ty Fm. Top,3180.89
15/9-19 A,SHETLAND GP. Top,3313.42
15/9-19 A,Ekofisk Fm. Top,3313.42
15/9-19 A,Hod Fm. Top,3476.16
15/9-19 A,Draupne Fm. Top,3666.5
15/9-19 A,Heather Fm. Top,3767.0
15/9-19 A,Heather Fm. Sand VOLVE Top,3797.0
15/9-19 A,Hugin Fm. VOLVE Top,3821.5
15/9-19 A,Hugin Fm. VOLVE Base,3919.59
15/9-19 A,Sleipner Fm. Top,3919.59
15/9-19 A,Skagerrak Fm. Top,3966.3
15/9-19 A,Smith Bank Fm. Top,4097.0
15/9-19 B,NORDLAND GP. Top,109.0
15/9-19 B,Utsira Fm. Top,851.0
15/9-19 B,HORDALAND GP. Top,1112.0
15/9-19 B,Ty Fm. Top,3209.0
15/9-19 BT2,Seabed,106.0
15/9-19 BT2,NORDLAND GP. Top,106.0
15/9-19 BT2,Utsira Fm. Top,847.8
15/9-19 BT2,HORDALAND GP. Top,1107.5
15/9-19 BT2,Ty Fm. Top,3212.83
15/9-19 BT2,SHETLAND GP. Top,3375.81
15/9-19 BT2,Ekofisk Fm. Top,3375.81
15/9-19 BT2,Hod Fm. Top,3557.0
15/9-19 BT2,Draupne Fm. Top,3768.0
15/9-19 BT2,Heather Fm. Top,3946.0
15/9-19 BT2,Heather Fm. Sand VOLVE Top,3994.0
15/9-19 BT2,Hugin Fm. VOLVE Top,4035.8
15/9-19 BT2,Hugin Fm. VOLVE Base,4178.59
15/9-19 BT2,Sleipner Fm. Top,4178.59
15/9-19 BT2,Smith Bank Fm. Top,4214.0
15/9-19 SR,Seabed,106.0
15/9-19 SR,NORDLAND GP. Top,106.0
15/9-19 SR,Utsira Fm. Top,847.8
15/9-19 SR,HORDALAND GP. Top,1107.5
