Sample,Lab,y,x,19,20,21,22,23,24,25,26,27,28,29,30,31,32,OL,GA
0,Lab_2,380,590,20.76348605,13.94736292,1.952258532,16.48610137,0,4.700926887,0,22.17007909,9.838301624,0,9.655031573,4.117457003,1.156801196,25.92684372,6.734488332,4.471749265
1,Lab_1,140,470,118.6433609,130.7168329,1152.23483,0,0,97.19052005,183.2752602,172.6169868,74.5135548,227.6258925,85.24175771,23.85117235,0,200.715642,75.29034221,0
2,Lab_1,350,440,123.998274,119.1865704,0,157.3294876,9.41653378,66.11513311,116.153357,141.5700684,0,195.4063129,51.6250435,19.93538176,57.20372742,0,42.26200985,33.35235445
3,Lab_2,790,160,13.7538474,18.59986903,1555.472651,9.205427441,7.676029716,23.36945993,18.86140087,0,6.889720955,18.95926312,6.30805711,8.018402196,0,18.181328,5.072129996,15.63560284
4,Lab_3,240,600,22.14371239,20.54871436,5.660627967,21.59033005,7.199149193,16.22122777,28.28198262,24.30961231,7.921878944,31.26692842,15.36656143,6.013448558,5,25.82453728,17.89701384,7.305631918
5,Lab_1,720,320,47.03491978,65.84852314,102.6931863,37.23966893,36.6790319,97.38395053,80.35949121,25.32783577,10.89941949,63.97048414,18.78596095,58.1810241,65.55381914,95.13624492,5.902988788,62.72762237
6,Lab_3,180,690,25.0587207,17.99974594,4,24.58383852,5.418988164,10.42630302,0,22.63983365,16.47220613,33.1543831,13.25497334,4,0,25.39278233,9.332513092,9.68728905
7,Lab_3,650,370,16.75326823,16.44093321,1744.221697,10.45749877,11.33476467,0,26.11889861,5.835664416,9.000856804,19.52801968,11.15981528,16.73853748,0,22.77113148,11.3109179,0
8,Lab_3,570,360,16.94403374,22.89782462,29.19963753,12.62207665,15.85869297,27.44960708,28.10504584,5,15.76132578,22.0234655,11.64443557,19.54954002,0,20.07044939,14.4997814,23.37085684
9,Lab_2,150,460,12.96467647,13.59043124,1.949139916,16.93617645,0.390091011,5.109251628,18.86885716,14.06808562,5.950013049,24.48542494,7.366157479,3.782104693,5.00137377,25.82942879,2.955839559,5.706641738
10,Lab_3,650,650,0,0,4.236353554,0,0,8.717324772,24.0789554,16.95689015,6.264964699,28.18070642,10.73474908,3.502946376,2,25.02062507,2.810972874,0
11,Lab_1,310,560,38.58439296,48.8332254,0,49.77977827,0.581211163,13.45218295,0,71.51962823,25.2959467,68.69336354,31.30933316,10.89918693,0.298183653,75.27792579,22.3325633,17.9569951
12,Lab_3,630,320,15.36045429,19.45240671,27.30578909,10.58541148,11.38309029,24.22759468,27.10359058,2,0,17.88071042,14.56831199,10.55916477,41.20250203,7.170597991,8.565556305,16.09218558
13,Lab_3,470,400,14.65774995,0,26.66998548,11.42616964,0,0,25.07660123,4.527466362,11.9166123,0,12.25871793,8.448021327,36.20313933,20.82384694,16.99724521,16.99646178
14,Lab_2,370,190,13.19911279,12.8425976,4.898782672,12.65814177,0,6.427999432,15.18501825,21.56248875,10.8066362,21.48432944,6.451826655,0,0,21.09963462,8.696879823,5.651449985
15,Lab_3,770,300,15.48664926,16.99624691,25.79574069,0,0,26.52576996,22.82356309,5.26768432,10.41281625,20.97427394,13.77780638,0,21.6798811,14.19843033,18.57752314,10.96971193
16,Lab_1,100,330,83.6178786,150.5616312,69.58716641,0,12.63254317,83.84285151,0,242.9904086,85.2975128,317.3057499,77.58466573,0,12.68192863,293.0522037,64.20132048,89.58231357
17,Lab_1,540,400,46.67537579,48.09498872,0,26.8170218,28.45265051,0,0,0,33.65239422,52.56910616,16.29973706,0,54.67762958,67.19999582,13.13698199,47.33314396
18,Lab_1,320,140,146.768269,168.0886612,0,0,0,80.08992152,207.8192445,249.3001856,139.605315,245.1614233,91.67425124,0,2.28245254,285.7387318,33.21670257,29.4908405
19,Lab_1,640,230,29.65853277,44.43206948,1160.511046,28.24866156,29.53653369,66.5685916,77.67348679,14.39197931,26.44166419,54.15867706,25.65783316,20.00747047,53.7426241,30.42001329,0,39.46388622
20,Lab_3,320,120,20.18772262,0,7.400870066,18.97682398,4,11.42769429,20.64324825,20.78881896,7.824807367,28.05983814,14.04533191,0,8.365438593,25.37164255,5.605772029,8.472558658
